Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
1390,12,Oulson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,Ouson class vessels,,,Ouson class vessels,
1391,12,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,SAMs,,,SAMs,
1392,12,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,Tanks,,,Tanks,
1393,12,APCs,APCs,APCs,APCs,APCs,APCs,APCs,APCs,APCs,APCs,APCs,APCs,,,APCs,
1394,12,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,Trucks,,,Trucks,
1395,12,primaries,primaries,primaries,primaries,primaries,primaries,primaries,primaries,primaries,primaries,primaries,primaries,,,primaries,19
1396,12,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,secondaries,,,secondaries,19
1397,12,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,T-72s,,,T-72s,
1398,12,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,ZSUs,,,ZSUs,
1399,12,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,Chapparals,,,Chapparals,
1400,12,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,Fuel trucks,,,Fuel trucks,
1401,12,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,,,Hawks,
1402,12,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,Jeeps,,,Jeeps,
1403,12,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,infantry squads,,,infantry squads,
1404,12,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,M-1s,,,M-1s,
1405,12,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,M-48s,,,M-48s,
1406,12,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,Patriots,,,Patriots,
1407,12,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,SA-13s,,,SA-13s,
1408,12,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,SA-15s,,,SA-15s,
1409,12,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,SA-2s,,,SA-2s,
1410,12,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,SA-3s,,,SA-3s,
1411,12,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,Flat Faces,,,Flat Faces,
1412,12,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,SA-4s,,,SA-4s,
1413,12,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,SA-5s,,,SA-5s,
1414,12,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,Square Pairs,,,Square Pairs,
1415,12,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,SA-6s,,,SA-6s,
1416,12,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,Straight Flushes,,,Straight Flushes,
1417,12,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,SA-8s,,,SA-8s,
1418,12,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,SA-9s,,,SA-9s,
1419,12,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,Scuds,,,Scuds,
1420,12,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,T-62s,,,T-62s,
1421,12,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,T-80s,,,T-80s,
1422,12,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,artillery Tubes,,,artillery Tubes,
1423,12,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,BMPs,,,BMPs,
1424,12,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,Bradleys,,,Bradleys,
1425,12,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,BRDMs,,,BRDMs,
1426,12,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,BTRs,,,BTRs,
1427,12,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,Dozers,,,Dozers,
1428,12,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,engineer vehicles,,,engineer vehicles,
1429,12,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,Howitzers,,,Howitzers,
1430,12,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,Humvees,,,Humvees,
1431,12,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,Mortars,,,Mortars,
1432,12,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,Rocket Launchers,,,Rocket Launchers,
1433,12,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,Tunguskas,,,Tunguskas,
1434,12,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,Spoon Rests,,,Spoon Rests,
1435,12,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,Long Tracks,,,Long Tracks,
1436,12,Zils,Zils,Zils,Zils,Zils,Zils,Zils,Zils,Zils,Zils,Zils,Zils,,,Zils,
1437,12,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,AN-24s,,,AN-24s,
1438,14,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,bogey,
1439,12,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,AN-12s,,,AN-12s,
1440,12,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,Kirov class vessels,,,Kirov class vessels,
1441,12,Recons,Recons,Recons,Recons,Recons,Recons,Recons,Recons,Recons,Recons,Recons,Recons,,,Recons,
1442,12,patrols,patrols,patrols,patrols,patrols,patrols,patrols,patrols,patrols,patrols,patrols,patrols,,,patrols,
1443,12,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,vehicles,,,vehicles,
1444,12,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,Hulks,,,Hulks,
1445,12,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,administration buildings,,,administration Buildings,
1446,12,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,ammo dumps,,,ammo dumps,
1447,12,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,apartment buildings,,,apartment buildings,
1448,12,barns,barns,barns,barns,barns,barns,barns,barns,barns,barns,barns,barns,,,barns,
1449,12,bridges,bridges,bridges,bridges,bridges,bridges,bridges,bridges,bridges,bridges,bridges,bridges,,,bridges,
1450,12,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,bridge ramps,,,bridge ramps,
1451,12,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,bridge spans,,,bridge spans,
1452,12,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,bridge towers,,,bridge towers,
1453,12,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,bunkers,,,bunkers,
1454,12,bushes,bushes,bushes,bushes,bushes,bushes,bushes,bushes,bushes,bushes,bushes,bushes,,,bushes,
1455,12,churches,churches,churches,churches,churches,churches,churches,churches,churches,churches,churches,churches,,,churches,
1456,12,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,government buildings,,,government buildings,
1457,12,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,c-cubed centres,,,c-cubed centres,
1458,12,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,commercial buildings,,,commercial buildings,
1459,12,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,comm domes,,,comm domes ???,
1460,12,control towers,control towers,control towers,control towers,control towers,control towers,control towers,control towers,control towers,control towers,control towers,control towers,,,control towers,
1461,12,craters,craters,craters,craters,craters,craters,craters,craters,craters,craters,craters,craters,,,craters,
1462,12,depots,depots,depots,depots,depots,depots,depots,depots,depots,depots,depots,depots,,,depots,
1463,12,docks,docks,docks,docks,docks,docks,docks,docks,docks,docks,docks,docks,,,docks,
1464,12,factories,factories,factories,factories,factories,factories,factories,factories,factories,factories,factories,factories,,,factories,
1465,12,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,fence sections,,,fence sections,
1466,12,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,fuel tanks,,,fuel tanks,
1467,12,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,guard houses,,,guard houses,
1468,12,hangars,hangars,hangars,hangars,hangars,hangars,hangars,hangars,hangars,hangars,hangars,hangars,,,hangars,
1469,12,helipads,helipads,helipads,helipads,helipads,helipads,helipads,helipads,helipads,helipads,helipads,helipads,,,helipads,
1470,12,highrises,highrises,highrises,highrises,highrises,highrises,highrises,highrises,highrises,highrises,highrises,highrises,,,highrises,
1471,12,hotels,hotels,hotels,hotels,hotels,hotels,hotels,hotels,hotels,hotels,hotels,hotels,,,hotels,
1472,12,houses,houses,houses,houses,houses,houses,houses,houses,houses,houses,houses,houses,,,houses,
1473,12,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,industrial plants,,,industrial plants,
1474,12,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,manufacturing plant,,,manufacturing Plant,
1475,12,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,nav beacons,,,nav beacons,
1476,12,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,nuclear plants,,,nuclear plants,
1477,12,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,office buildings,,,office buildings,
1478,12,parks,parks,parks,parks,parks,parks,parks,parks,parks,parks,parks,parks,,,parks,
1479,12,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,parking lots,,,parking lots,
1480,12,piers,piers,piers,piers,piers,piers,piers,piers,piers,piers,piers,piers,,,piers,
1481,12,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,pontoon bridges,,,pontoon bridges,
1482,12,power plants,power plants,power plants,power plants,power plants,power plants,power plants,power plants,power plants,power plants,power plants,power plants,,,power plants,
1483,12,power poles,power poles,power poles,power poles,power poles,power poles,power poles,power poles,power poles,power poles,power poles,power poles,,,power poles,
1484,12,radars,radars,radars,radars,radars,radars,radars,radars,radars,radars,radars,radars,,,radars,
1485,12,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,radio towers,,,radio towers,
1486,12,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,rail terminals,,,rail terminals,
1487,12,refineries,refineries,refineries,refineries,refineries,refineries,refineries,refineries,refineries,refineries,refineries,refineries,,,refineries,
1488,12,runways,runways,runways,runways,runways,runways,runways,runways,runways,runways,runways,runways,,,runways,
1489,12,sheds,sheds,sheds,sheds,sheds,sheds,sheds,sheds,sheds,sheds,sheds,sheds,,,sheds,
1490,12,shops,shops,shops,shops,shops,shops,shops,shops,shops,shops,shops,shops,,,shops,
1491,12,shrines,shrines,shrines,shrines,shrines,shrines,shrines,shrines,shrines,shrines,shrines,shrines,,,shrines,
1492,12,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,skyscrapers,,,skyscrapers,
1493,12,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,smoke stacks,,,smoke stacks,
1494,12,stables,stables,stables,stables,stables,stables,stables,stables,stables,stables,stables,stables,,,stables,
1495,12,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,storage tanks,,,storage tanks,
1496,12,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,taxiways,,,taxiways,
1497,12,temples,temples,temples,temples,temples,temples,temples,temples,temples,temples,temples,temples,,,temples,
1498,12,transformers,transformers,transformers,transformers,transformers,transformers,transformers,transformers,transformers,transformers,transformers,transformers,,,transformers,
1499,12,trees,trees,trees,trees,trees,trees,trees,trees,trees,trees,trees,trees,,,trees,
1500,12,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,TV Stations,,,tV Stations,
1501,12,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,underground factories,,,underground factories,
1502,12,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,warehouses,,,warehouses,
1503,12,water towers,water towers,water towers,water towers,water towers,water towers,water towers,water towers,water towers,water towers,water towers,water towers,,,water towers,
1504,12,structures,structures,structures,structures,structures,structures,structures,structures,structures,structures,structures,structures,,,structures,
1505,12,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,electrical towers,,,electrical Towers,
1506,12,needs tasking,ready for some work,ready for tasking,ready to work,looking for some work,ready for a mission,needs a mission,checking in for some work,requests tasking,requests a mission,ready for some work,looking for a mission,,,,
1507,12,"things are pretty quiet right now, continue as fragged","everything's covered right now, continue as fragged",got everything covered right now,"all quiet, as you were","the board is clear right now, continue as fragged","all tasking is covered, continue as fragged","don't have anything for you, continue as fragged",I don't have anything up right now,"there's nothing going on right now, continue as fragged","no tasking available, continue as fragged",I don't have anything for you right now,there's no open tasking right now,,,,
1508,12,I don't have anything right now,the area appears to be clear,I don't have any targets,it's pretty quiet right now,I've been trolling but nothing's bit,I don't have anything,nothing's up right now,I don't have any targets,things are quiet right now,no targets available,I'm all out,I don't have any targets,,,,
1509,12,Juliet Sierra,"zip, nada, zilch",nothing,didn't hit jack,mighta scared them a little,goose eggs,jack,nada,zero,zilch,"what luck, nothing but bad luck",zip,,,,
1510,12,no damage,no BDA,no hits,no damage,no BDA,no hits,no damage,no hits,no BDA,no damage,no hits,no BDA,,,,
1511,12,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,,,copy,
1512,12,deploying decoys,ducks away,decoys out,quack quack,deploying decoys,ducks out,decoys away,ducks out,ducks,ducks away,ducks,ducks,,,ducks,
1513,12,small arms,small arms,small arms,small arms,small arms,small arms,small arms,small arms,small arms,small arms,small arms,small arms,,,small arms,1
1514,12,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,bandit 12 o'clock,,,bandit 12 o'clock,
1515,12,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,bandit 1 o'clock,,,bandit 1 o'clock,
1516,12,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,bandit 2 o'clock,,,bandit 2 o'clock,
1517,12,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,bandit 3 o'clock,,,bandit 3 o'clock,
1518,12,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,bandit 4 o'clock,,,bandit 4 o'clock,
1519,12,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,bandit 5 o'clock,,,bandit 5 o'clock,
1520,12,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,bandit 6 o'clock,,,bandit 6 o'clock,
1521,12,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,bandit 7 o'clock,,,bandit 7 o'clock,
1522,12,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,bandit 8 o'clock,,,bandit 8 o'clock,
1523,12,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,bandit 9 o'clock,,,bandit 9 o'clock,
1524,12,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,bandit 10 o'clock,,,bandit 10 o'clock,
1525,12,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,bandit 11 o'clock,,,bandit 11 o'clock,
1526,12,high,high,high,high,high,high,high,high,high,high,high,high,,,High,
1527,12,low,low,low,low,low,low,low,low,low,low,low,low,,,Low,
1528,12,Scud launch detected,Scud launch,Scud launch detected,Scud launch detected,Scud launch detected,Scud launch,Scud launch detected,Scud launch detected,Scud launch,Scud launch detected,Scud launch detected,Scud launch,,,Scud launch detected,
1529,12,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,going arrowhead,,,going arrowhead,
1530,12,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,50 knots,,,50 knots,3
1531,12,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,100 knots,,,100 knots,3
1532,14,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,2-0-5,12
1533,14,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,5 miles,
1534,14,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,10 miles,
1535,14,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,15 miles,
1536,14,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,20 miles,
1537,14,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,25 miles,
1538,14,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,30 miles,
1539,14,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,35 miles,
1540,14,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,40 miles,
1541,14,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,50 miles,
1542,14,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,60 miles,
1543,14,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,80 miles,
1544,14,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,100 miles,
1545,14,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,200 miles,
1546,14,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,300 miles,
1547,14,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,400 miles,
1548,14,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,500 miles,
1549,14,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,600 miles,
1550,14,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,1 mile,
1551,14,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,2 miles,
1552,14,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,3 miles,
1553,14,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,4 miles,
1554,14,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,
1555,14,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,
